is_gain_opportunity,pct_change_est_avg_price,pct_change_est_avg_trade_volume,sma8_pct_diff,sma21_pct_diff,sma55_pct_diff,sma89_pct_diff,sma144_pct_diff,btc_change_est_avg_price,btc_change_est_avg_trade_volume,btc_sma8_pct_diff,btc_sma21_pct_diff,btc_sma55_pct_diff,btc_sma89_pct_diff,btc_sma144_pct_diff,btc_reg3_b,btc_reg3_rsq,btc_reg3_resid,btc_reg8_b,btc_reg8_rsq,btc_reg8_resid,btc_reg21_b,btc_reg21_rsq,btc_reg21_resid
0,0.007058335,-0.627181721,-0.000682362,-0.019495327,-0.024159643,-0.041005126,-0.048337584,0.001888907,0.657371522,0.003557409,0.003251403,-0.018592337,-0.029574544,-0.033623134,0,0,0,7.96E-14,2.87E-15,3.78E-16,0.342783694,0.302647846,0.002974984
0,-0.002061431,-0.060540685,-0.000503238,-0.021323463,-0.02541377,-0.042093699,-0.050545126,-0.002121611,-0.045877362,0.001237027,0.000786883,-0.019836558,-0.03117898,-0.035400554,0,0,0,0,0,0,0.161570425,0.229898029,-6.44E-05
0,-0.002582111,0.367358001,-0.003958052,-0.02281574,-0.027114776,-0.043586848,-0.053190144,-0.001881948,0.12590095,-0.001205525,-0.001243288,-0.020821023,-0.032505441,-0.036900815,-4.13E-17,3.37E-17,0,-6.38E-14,2.62E-16,-2.42E-16,0.010064889,0.114076485,-2.16E-05
0,0.00341721,0.63218472,-0.001056674,-0.017212873,-0.023128171,-0.039383264,-0.050009686,0.001703817,-0.256429045,-1.93E-05,0.000489949,-0.018331832,-0.030389105,-0.034899028,0,0,0,0,0,0,0.038126409,0.062096465,0.000795341
0,-0.006707946,-0.648538458,-0.006554162,-0.021167475,-0.029022473,-0.04489401,-0.056344276,0.000642803,-0.32091199,0.000458719,0.001258342,-0.016863149,-0.029271324,-0.033917212,0,0,0,-2.74E-14,1.03E-16,-1.54E-16,0.161924229,0.151772681,-0.000532431
0,-0.005922078,0.900107698,-0.009882548,-0.024142877,-0.033964703,-0.049457535,-0.061648994,0.002235708,0.196516775,0.002243218,0.003508941,-0.013865945,-0.026624065,-0.031425005,0,0,0,3.09E-13,2.19E-14,8.15E-16,-0.011890688,0.084825385,8.37E-05
0,-0.00041806,-0.438886692,-0.007909546,-0.022062051,-0.033769025,-0.048650676,-0.061713471,-0.000305229,-0.243017134,0.001659438,0.003237138,-0.013478858,-0.026441449,-0.031404688,2.69E-17,1.24E-16,-1.08E-19,-1.11E-13,1.07E-15,1.28E-16,-0.090732218,0.374024609,0.000572466
0,-0.00083647,-0.394466781,-0.007735839,-0.021469748,-0.034147905,-0.048279593,-0.06217501,0.001382411,0.136658572,0.002600693,0.004393782,-0.011539356,-0.024618315,-0.029755715,1.06E-17,9.16E-18,-1.08E-19,-1.10E-13,1.06E-15,3.34E-16,0.002753529,0.020856753,-4.65E-05
0,0.004499791,1.541216403,-0.001936528,-0.016015806,-0.029532463,-0.042862758,-0.057551655,0.002107885,0.846950473,0.004241682,0.006071508,-0.008905776,-0.022107348,-0.027412536,0,0,0,0,0,0,0.117632584,0.128118653,0.000743706
0,-0.004062923,-0.374455899,-0.00441295,-0.018038792,-0.033032813,-0.045446835,-0.061080486,0.000382165,-0.573221327,0.003838996,0.00604805,-0.007989674,-0.02130559,-0.026734959,0,0,0,-6.80E-14,5.33E-16,-1.36E-16,0.056894132,0.011350357,-0.001272282
0,-0.002824268,0.56859125,-0.005619642,-0.01798781,-0.035485318,-0.046829555,-0.063509333,-0.000892011,-0.175734957,0.002036123,0.004815335,-0.008353133,-0.021747309,-0.027309612,1.37E-16,1.12E-16,-8.67E-19,0,0,0,-0.007197632,0.031842808,0.000134962
0,0.00597923,0.474656447,0.001631981,-0.00956547,-0.02963434,-0.039995759,-0.05769708,9.86E-05,-0.119375011,0.001428678,0.004615762,-0.007647098,-0.021236506,-0.026925302,0,0,0,0,0,0,0.200390708,0.251187532,0.000833802
0,-0.005213764,-0.541441091,-0.002483336,-0.01237852,-0.034368505,-0.043927771,-0.062344498,-0.000667935,0.137868327,0.000218532,0.003700117,-0.007667637,-0.02148159,-0.027279597,0,0,0,0,0,0,-0.103142495,0.06452177,-0.001288481
0,-0.000733753,-0.555883522,-0.002759051,-0.01073795,-0.034604443,-0.043505922,-0.062854661,0.000323848,-0.366750335,0.000239358,0.003755396,-0.006725383,-0.020729905,-0.026699973,0,0,0,0,0,0,0.046721465,0.126756245,0.000408887
0,-0.000524494,0.640610867,-0.002812679,-0.009651614,-0.034849549,-0.043022602,-0.063315507,-0.001857362,0.23083352,-0.001727033,0.001662793,-0.007949546,-0.022067989,-0.028254906,0,0,0,0,0,0,-0.001696324,0.03942859,2.53E-05
0,-0.015743073,1.149806985,-0.01622059,-0.024223683,-0.049557364,-0.0568953,-0.07794095,-0.002549516,0.328488998,-0.0038919,-0.001226045,-0.009815697,-0.023953323,-0.030473358,-8.79E-15,2.54E-15,1.04E-17,2.09E-13,2.93E-14,-9.58E-16,0.114435035,0.033400486,-0.002991768
0,0.001812753,-0.002978314,-0.011793765,-0.021213344,-0.047321832,-0.054005559,-0.076130068,-2.22E-05,-0.421995815,-0.003268228,-0.001485007,-0.009165361,-0.0233114,-0.030220017,0,0,0,0,0,0,0.316629614,0.179999302,0.000978408
0,-0.008940926,-0.126537941,-0.01741241,-0.027997189,-0.055256161,-0.061229494,-0.084251498,-0.002409257,2.207610158,-0.004677909,-0.003849567,-0.010774778,-0.024990586,-0.032279465,0,0,0,0,0,0,-0.073475711,0.012265011,-0.001325831
0,-0.010847385,-0.547461277,-0.023912015,-0.035866479,-0.064700087,-0.070108564,-0.094022235,-0.002504824,-0.436208174,-0.005981051,-0.006188283,-0.012370266,-0.026748887,-0.034420318,0,0,0,0,0,0,-0.017705179,0.030809484,-0.000228577
0,0.013463626,1.038988164,-0.007404038,-0.020855258,-0.048211445,-0.056399566,-0.081783698,0.001605855,-0.544770091,-0.003376816,-0.004459996,-0.00989609,-0.024522421,-0.032592199,0,0,0,-7.70E-13,3.61E-14,-8.64E-16,1.089303198,0.541875217,0.003406947
0,0.005999571,-0.371671827,0.000546113,-0.013778781,-0.038218,-0.049627539,-0.076312667,0.002894912,0.081275083,7.63E-05,-0.001579162,-0.0062002,-0.021065771,-0.029534914,0,0,0,0,0,0,0.187957158,0.301316189,0.000136793
0,-0.002555911,0.923866768,0.000213584,-0.01464362,-0.038138003,-0.050917938,-0.078738343,0.001584799,0.492310063,0.002072803,1.64E-05,-0.003822825,-0.018906176,-0.027770822,0,0,0,1.34E-14,7.52E-18,-6.33E-17,0.115712,0.194726107,-0.000603319
0,-0.006085842,-0.070403899,-0.002958757,-0.018806824,-0.041441208,-0.055561627,-0.084473845,4.77E-07,0.415297139,0.002251146,-7.09E-05,-0.002984078,-0.018316774,-0.027541239,0,0,0,-3.61E-13,3.09E-14,5.39E-16,-0.013213571,0.020943289,-0.000522758
0,0.003759802,-0.010336641,0.001245685,-0.013568042,-0.035601935,-0.051013315,-0.081243736,0.000968453,0.031225092,0.002957308,0.000673997,-0.001220125,-0.016783578,-0.026379511,3.26E-15,1.88E-15,2.60E-18,1.62E-13,3.20E-16,3.85E-16,0.084703171,0.084413718,0.001701617
0,0.016588185,-0.152376279,0.016438634,0.003758849,-0.017890339,-0.03461256,-0.06631945,0.00184688,0.493843384,0.004309562,0.002291101,0.001395113,-0.014384433,-0.024404428,1.43E-15,4.12E-16,0,0,0,0,0.075557978,0.024029614,0.00217406
0,-0.007053374,-0.069112694,0.007638481,-0.002352173,-0.023087613,-0.04085225,-0.07309233,-0.002501724,0.153377231,0.001311533,-0.000296837,-0.000352495,-0.016247045,-0.026633168,0,0,0,0,0,0,0.551571929,0.484449334,-0.005286536
0,-0.015903308,-0.187053871,-0.009338812,-0.016801738,-0.037289445,-0.055441071,-0.087825734,-0.001820444,-0.308112151,-0.001079782,-0.002004553,-0.001484791,-0.017427901,-0.028165373,0,0,0,0,0,0,-0.062186535,0.018468592,-0.001494288
0,-0.003232062,-0.278950487,-0.011459252,-0.018434754,-0.03949351,-0.057573691,-0.090847166,0.000379035,0.147703095,-0.001117192,-0.001546528,-0.000585551,-0.016434225,-0.027567707,0,0,0,0,0,0,0.154942412,0.207122136,0.002836229
0,0.003674881,2.853287966,-0.006446436,-0.01348196,-0.03564159,-0.053046102,-0.087276317,-0.000187178,0.293313836,-0.001336818,-0.001579044,-0.000407708,-0.01599852,-0.027506769,0,0,0,0,0,0,-0.030492799,0.020702217,0.00120261
0,-0.021537799,-0.215316474,-0.024191167,-0.032217796,-0.055850152,-0.072352995,-0.105074321,-0.003729929,0.036940725,-0.004433857,-0.004872673,-0.003779497,-0.019085048,-0.030845245,0,0,0,1.61E-13,1.75E-15,-5.34E-16,0.471373167,0.314556882,-0.006811628
0,-0.032137354,0.6261041,-0.048975985,-0.059666382,-0.085281892,-0.100900625,-0.13171286,-0.008862146,1.796677767,-0.01154271,-0.012831881,-0.012190991,-0.027164548,-0.039075678,0,0,0,1.76E-14,1.88E-16,-5.55E-17,0.025841466,0.005114436,-0.002285114
0,-0.026609052,0.464021361,-0.064365817,-0.08013036,-0.107853433,-0.123294962,-0.153243733,-0.009240045,0.131109701,-0.017729246,-0.020716193,-0.020738745,-0.035451221,-0.047531615,0,0,0,0,0,0,0.020344491,0.018720628,0.000345261
0,-0.000233645,0.073916529,-0.052401384,-0.075462844,-0.1066331,-0.121798953,-0.152086175,-2.47E-05,-0.550932987,-0.014556268,-0.019494299,-0.020371838,-0.034744931,-0.047118757,0,0,0,0,0,0,0.39541574,0.551487612,0.000974788
0,-0.005608787,-0.49469702,-0.045536115,-0.075751053,-0.110176168,-0.124957939,-0.155361748,0.002207798,-0.173539278,-0.009739864,-0.016210672,-0.017970013,-0.031903216,-0.044597964,0,0,0,0,0,0,-0.07270943,0.141045874,-0.000353096
